文件名,原规则,新判定,新证据
167897613173_167897613173_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897615197_167897615197_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897622868_167897622868_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897622868_167897622868_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897629165_167897629165_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897629165_167897629165_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897632303_167897632303_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897632303_167897632303_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897639267_167897639267_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897639267_167897639267_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897650144_167897650144_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897650144_167897650144_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897660194_167897660194_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897660194_167897660194_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897664103_167897664103_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897664103_167897664103_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897664950_167897664950_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897664950_167897664950_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897665054_167897665054_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897665054_167897665054_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897665768_167897665768_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897665768_167897665768_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897665949_167897665949_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897665949_167897665949_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897666391_167897666391_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897666391_167897666391_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897666745_167897666745_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897666745_167897666745_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897667014_167897667014_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897667014_167897667014_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897673170_167897673170_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897673170_167897673170_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897680661_167897680661_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897680661_167897680661_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897683042_167897683042_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897696410_167897696410_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897696410_167897696410_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897696511_167897696511_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897696511_167897696511_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897696598_167897696598_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897696598_167897696598_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897712962_167897712962_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897712962_167897712962_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897717519_167897717519_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897717519_167897717519_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897719138_167897719138_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897719138_167897719138_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897719867_167897719867_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.blusteele.com']
167897719867_167897719867_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897746102_167897746102_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897749844_167897749844_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897750111_167897750111_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897752935_167897752935_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167897754118_167897754118_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167899840974_167899840974_1.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['tirechain.com']
167900973203_167900973203_1.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['duallywheels.com']; 疑似联系方式(弱信号): ['888-505-0987']
167901416397_167901416397_1.webp,1-包含中文内容,KEEP,
167901416783_167901416783_5.webp,1-包含中文内容,KEEP,
167901416824_167901416824_2.webp,1-包含中文内容,KEEP,
167901416824_167901416824_4.webp,1-包含中文内容,KEEP,
167901416824_167901416824_5.webp,1-包含中文内容,KEEP,
167901417790_167901417790_3.webp,1-包含中文内容,KEEP,
167901417808_167901417808_2.webp,1-包含中文内容,KEEP,
167901417808_167901417808_4.webp,1-包含中文内容,KEEP,
167901417808_167901417808_5.webp,1-包含中文内容,KEEP,
167901417819_167901417819_1.webp,1-包含中文内容,KEEP,
167901417837_167901417837_1.webp,1-包含中文内容,KEEP,
167901417837_167901417837_2.webp,1-包含中文内容,KEEP,
167901417837_167901417837_3.webp,1-包含中文内容,KEEP,
167901417890_167901417890_3.webp,1-包含中文内容,KEEP,
167901418162_167901418162_3.webp,1-包含中文内容,KEEP,
167901418162_167901418162_4.webp,1-包含中文内容,KEEP,
167901644444_167901644444_0.webp,1-包含中文内容,KEEP,
167901644444_167901644444_1.webp,1-包含中文内容,KEEP,
167901644444_167901644444_2.webp,1-包含中文内容,KEEP,
167901644444_167901644444_3.webp,1-包含中文内容,KEEP,
167901644444_167901644444_4.webp,1-包含中文内容,KEEP,
167901644444_167901644444_5.webp,1-包含中文内容,KEEP,
167901644462_167901644462_0.webp,1-包含中文内容,KEEP,
167901644462_167901644462_2.webp,1-包含中文内容,KEEP,
167901644462_167901644462_3.webp,1-包含中文内容,KEEP,
167901644473_167901644473_3.webp,1-包含中文内容,KEEP,
167901644501_167901644501_3.webp,1-包含中文内容,KEEP,
167901644501_167901644501_4.webp,1-包含中文内容,KEEP,
167901644501_167901644501_5.webp,1-包含中文内容,KEEP,
167901644509_167901644509_2.webp,1-包含中文内容,KEEP,
167901644526_167901644526_3.webp,1-包含中文内容,KEEP,
167901645620_167901645620_2.webp,1-包含中文内容,KEEP,
167901648873_167901648873_0.webp,1-包含中文内容,KEEP,
167901648873_167901648873_1.webp,1-包含中文内容,KEEP,
167902268399_167902268399_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167902760574_167902760574_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['www.p65warnings.ca.gov']
167902776148_167902776148_1.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['www.p65warnings.ca.gov']
167903057706_167903057706_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.pedifix.com']
167903463343_167903463343_2.webp,1-包含中文内容,KEEP,
167903470300_167903470300_2.webp,3-包含联系方式,REVIEW,"疑似联系方式(弱信号): ['youtube', 'facebook']"
167903499669_167903499669_0.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['whatsapp']
167903499669_167903499669_3.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['whatsapp']
167903503815_167903503815_0.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['youtube']
167903792916_167903792916_5.webp,1-包含中文内容,KEEP,
167903856978_167903856978_4.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['www.p65warnings.ca.gov']
167903857018_167903857018_3.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['esebrands.com']; 疑似联系方式(弱信号): ['1-800-234-6992', '800-234-6992'"
167903916906_167903916906_2.webp,3-联系方式(二维码),REVIEW,检测到二维码(按用户口径待确认): INV 171
167905309768_167905309768_0.webp,5-促销/免费配送信息,KEEP,
167905311569_167905311569_1.webp,4-无效图片(空白/纯色),KEEP,
167905594399_167905594399_1.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['www.p65warnings.ca.gov']
167905779175_167905779175_1.webp,4-无效图片(空白/纯色),KEEP,
167905950965_167905950965_0.webp,5-促销/免费配送信息,KEEP,
167906676218_167906676218_0.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.bremaxx.com', '.bremaxx.com']"
167906676218_167906676218_3.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.bremaxx.com', '.bremaxx.com']"
167906812837_167906812837_0.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167906846187_167906846187_1.webp,1-包含中文内容,KEEP,
167907605610_167907605610_2.webp,3-包含联系方式,KEEP,
167907670009_167907670009_1.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['duallywheels.com']; 疑似联系方式(弱信号): ['888-505-0987']
167908095490_167908095490_2.webp,3-包含联系方式,KEEP,
167908099072_167908099072_0.webp,5-促销/免费配送信息,KEEP,
167908124980_167908124980_0.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['13621433076']
167908124980_167908124980_4.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['13621433076']
167908124980_167908124980_5.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['13621433076']
167908125084_167908125084_0.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['13621433076']
167908125084_167908125084_3.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['13621433076']
167908145442_167908145442_0.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['17217800408']
167908210392_167908210392_2.webp,3-包含联系方式,REVIEW,"疑似联系方式(弱信号): ['1-855-339-1932', '855-339-1932']"
167908330086_167908330086_0.webp,3-包含联系方式,KEEP,
167908330086_167908330086_1.webp,3-包含联系方式,KEEP,
167908724828_167908724828_1.webp,4-无效图片(空白/纯色),KEEP,
167908862933_167908862933_0.webp,1-包含中文内容,KEEP,
167908862933_167908862933_4.webp,1-包含中文内容,KEEP,
167908862933_167908862933_5.webp,1-包含中文内容,KEEP,
167909428260_167909428260_1.webp,4-无效图片(空白/纯色),KEEP,
167909430475_167909430475_1.webp,4-无效图片(空白/纯色),KEEP,
167909482116_167909482116_5.webp,1-包含中文内容,KEEP,
167909517471_167909517471_0.webp,1-包含中文内容,KEEP,
167909517471_167909517471_1.webp,1-包含中文内容,KEEP,
167909786351_167909786351_1.webp,4-无效图片(空白/纯色),KEEP,
167909888531_167909888531_5.webp,1-包含中文内容,KEEP,
167910001882_167910001882_1.webp,4-无效图片(空白/纯色),KEEP,
167910080061_167910080061_5.webp,1-包含中文内容,KEEP,
167910085438_167910085438_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['www.p65warnings.ca.gov']
167910717044_167910717044_0.webp,3-包含联系方式,KEEP,
167910717044_167910717044_1.webp,3-包含联系方式,KEEP,
167910717044_167910717044_2.webp,3-包含联系方式,KEEP,
167910717044_167910717044_3.webp,3-包含联系方式,KEEP,
167910717044_167910717044_4.webp,3-包含联系方式,KEEP,
167910717044_167910717044_5.webp,3-包含联系方式,KEEP,
167910877601_167910877601_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167910929849_167910929849_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167910984287_167910984287_0.webp,3-包含联系方式,KEEP,
167910984287_167910984287_2.webp,3-包含联系方式,KEEP,
167911196212_167911196212_1.webp,4-无效图片(空白/纯色),KEEP,
167911493810_167911493810_0.webp,1-包含中文内容,KEEP,
167911493810_167911493810_1.webp,1-包含中文内容,KEEP,
167911493810_167911493810_4.webp,1-包含中文内容,KEEP,
167911633160_167911633160_1.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['www.p65warnings.ca.gov']
167911665513_167911665513_0.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.miamibritish.com', '.miamibritish.com']"
167911960854_167911960854_0.webp,5-促销/免费配送信息,KEEP,
167911963399_167911963399_0.webp,5-促销/免费配送信息,KEEP,
167912037127_167912037127_1.webp,4-无效图片(空白/纯色),KEEP,
167912075794_167912075794_0.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.parker.com', '.parker.com']"
167912115496_167912115496_1.webp,4-无效图片(空白/纯色),KEEP,
167912215333_167912215333_1.webp,4-无效图片(空白/纯色),KEEP,
167912593508_167912593508_4.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.felrro.com', '.felrro.com']"
167912696492_167912696492_1.webp,3-包含联系方式,KEEP,
167912696492_167912696492_3.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['13258638450']
167912745236_167912745236_1.webp,1-包含中文内容,KEEP,
167912745236_167912745236_2.webp,1-包含中文内容,KEEP,
167914206678_167914206678_0.webp,1-包含中文内容,KEEP,
167914206678_167914206678_1.webp,1-包含中文内容,KEEP,
167914883278_167914883278_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.mycertifiedservice.com', '.mycertifiedservice.com']"
167915015205_167915015205_0.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.motoradusa.com', '.motoradusa.com']"
167915525759_167915525759_1.webp,4-无效图片(空白/纯色),KEEP,
167915734729_167915734729_1.webp,4-无效图片(空白/纯色),KEEP,
167915785618_167915785618_0.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
167915785630_167915785630_0.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
167915785739_167915785739_0.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
167915791425_167915791425_1.webp,4-无效图片(空白/纯色),KEEP,
1679159024_1679159024_3.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['www.contitech.d']; 疑似联系方式(弱信号): ['16752042736']
167916494953_167916494953_1.webp,4-无效图片(空白/纯色),KEEP,
167916504199_167916504199_1.webp,4-无效图片(空白/纯色),KEEP,
167916940331_167916940331_5.webp,3-包含联系方式,KEEP,
167916994967_167916994967_0.webp,5-促销/免费配送信息,KEEP,
167917517559_167917517559_1.webp,1-包含中文内容,KEEP,
167917517559_167917517559_5.webp,1-包含中文内容,KEEP,
167917871974_167917871974_0.webp,5-促销/免费配送信息,KEEP,
167918138222_167918138222_5.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['13631402143']
167918139509_167918139509_4.webp,3-包含联系方式,KEEP,
167918781428_167918781428_3.webp,3-联系方式(二维码),REVIEW,检测到二维码(按用户口径待确认): P1506803-00-F:SEXS201021014076
167918793784_167918793784_3.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.mishimoto.com', '.mishimoto.com']"
167918892363_167918892363_1.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['mufflers.com']
167919148738_167919148738_1.webp,1-包含中文内容,KEEP,
167919478781_167919478781_2.webp,3-包含联系方式,KEEP,
167919490639_167919490639_0.webp,3-包含联系方式,KEEP,
167919490639_167919490639_2.webp,3-包含联系方式,KEEP,
167919490639_167919490639_5.webp,3-包含联系方式,KEEP,
167919524979_167919524979_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167919526360_167919526360_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167919526590_167919526590_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167919537088_167919537088_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167920660478_167920660478_0.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167920762114_167920762114_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167921006148_167921006148_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167921008649_167921008649_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167921017900_167921017900_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167921022076_167921022076_0.webp,3-联系方式(二维码),REVIEW,检测到二维码(按用户口径待确认): MS740 2017 MASERATI LEVANTE VIN: ZN661XU
167921022533_167921022533_1.webp,3-包含联系方式,KEEP,
167921023901_167921023901_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167921024167_167921024167_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167921033425_167921033425_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167921156378_167921156378_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167921157805_167921157805_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167921159963_167921159963_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167921188923_167921188923_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167921203955_167921203955_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167921204159_167921204159_0.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.blusteele.com', '.blusteele.com']"
167921274257_167921274257_1.webp,4-无效图片(空白/纯色),KEEP,
167921274356_167921274356_1.webp,4-无效图片(空白/纯色),KEEP,
167921496580_167921496580_0.webp,5-促销/免费配送信息,KEEP,
167921496581_167921496581_0.webp,5-促销/免费配送信息,KEEP,
167921759215_167921759215_5.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.densoaftermarket.com', '.densoaftermarket.com']"
167921860855_167921860855_1.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['13907614013']
167922033776_167922033776_5.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.densoaftermarket.com', '.densoaftermarket.com']"
167922357317_167922357317_1.webp,3-联系方式(二维码),REVIEW,检测到二维码(按用户口径待确认): 425570206016092
167922357317_167922357317_5.webp,1-包含中文内容,KEEP,
167922695889_167922695889_1.webp,1-包含中文内容,KEEP,
167923036749_167923036749_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['mrtiat.com']
167923619857_167923619857_5.webp,3-包含联系方式,KEEP,
167924123363_167924123363_0.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['whatsapp']
167924123363_167924123363_1.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['whatsapp']
167924123363_167924123363_2.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['whatsapp']
167924827550_167924827550_4.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['17117600516']
167925495983_167925495983_0.webp,1-包含中文内容,KEEP,
167925495983_167925495983_1.webp,1-包含中文内容,KEEP,
167925495983_167925495983_2.webp,1-包含中文内容,KEEP,
167925495983_167925495983_3.webp,1-包含中文内容,KEEP,
167925529965_167925529965_0.webp,5-促销/免费配送信息,KEEP,
167925914260_167925914260_4.webp,1-包含中文内容,KEEP,
167925914522_167925914522_4.webp,1-包含中文内容,KEEP,
167925971958_167925971958_1.webp,4-无效图片(空白/纯色),KEEP,
167925976145_167925976145_1.webp,4-无效图片(空白/纯色),KEEP,
167926109057_167926109057_4.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['vortechsuperchargers.com']
167926504944_167926504944_2.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['254-415-4906']
167926609051_167926609051_1.webp,1-包含中文内容,KEEP,
167927398941_167927398941_0.webp,1-包含中文内容,KEEP,
167927398941_167927398941_1.webp,1-包含中文内容,KEEP,
167927516375_167927516375_1.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['qq']
167929123676_167929123676_0.webp,1-包含中文内容,KEEP,
167929123676_167929123676_2.webp,1-包含中文内容,KEEP,
167929311973_167929311973_0.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['832-416-6176']
167929311973_167929311973_1.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['832-416-6176']
167929311973_167929311973_2.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['832-416-6176']
167929311973_167929311973_3.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['832-416-6176']
167929311973_167929311973_4.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['832-416-6176']
167929311973_167929311973_5.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['832-416-6176']
1679309595_1679309595_0.webp,3-包含联系方式,KEEP,
1679309595_1679309595_4.webp,3-包含联系方式,KEEP,
